动画名称,动画url,动画总集数,动画放映时间,动画评分,动画放映类型,动画播放次数,动画原作,动画剧情类型,动画制作公司,动画监督放学后的Pleiades,http://donghua.dmzj.com/donghua_info/2078.html,7,2011-02-01,4.3,TV,50863,暂无,奇幻,GAINAX,佐伯昭志
翼飞冲天之天际战骑,http://donghua.dmzj.com/donghua_info/8694.html,54,2015-01-16,2.1,TV,8594,暂无,热血,奥飞动漫,暂无
十分开心,http://donghua.dmzj.com/donghua_info/8790.html,3,2015,3,TV,606,暂无,搞笑,暂无,暂无
昆塔因为所以,http://donghua.dmzj.com/donghua_info/8799.html,26,2015,3,TV,0,暂无,搞笑,浙江博采传媒有限公司,暂无
2015奥斯卡最佳动画短片提名,http://donghua.dmzj.com/donghua_info/8819.html,1,2015-02-11,5.0,OVA,4283,暂无,社会,暂无,暂无
叶之香,http://donghua.dmzj.com/donghua_info/853.html,12,2006-08-07,5.0,TV,0,森野あるじ,战争,ファンワークス、ラムズ,森野あるじ
银河铁道物语2 通向永远的分歧点,http://donghua.dmzj.com/donghua_info/832.html,24,2006-10-04,4.8,TV,0,松本零士,科幻,プラネットエンターテイメント,冨永恒雄
内阁权力犯罪强制取缔官财前丈太郎,http://donghua.dmzj.com/donghua_info/855.html,11,2006-07-05,5.0,TV,0,北芝健,社会,トランス・アーツ,大森英敏
如狼共舞,http://donghua.dmzj.com/donghua_info/860.html,12,2006-07-03,3.7,TV,0,ufotable,科幻,ufotable,野中卓也
无罪的维纳斯,http://donghua.dmzj.com/donghua_info/856.html,12,2006-07-26,4.9,TV,0,INNOCENT PROJECT,科幻,ブレインズ・ベース,川越淳
炼金3级魔法少女,http://donghua.dmzj.com/donghua_info/920.html,12,2006-04-04,4.3,TV,0,がらくたはうす,搞笑,REMIC,八谷賢一
梦使,http://donghua.dmzj.com/donghua_info/916.html,12,2006-04-08,4.9,TV,0,植芝理一,奇幻,マッドハウス,やまざきかずお
键姬物语,http://donghua.dmzj.com/donghua_info/926.html,13,2006-01-03,3.6,TV,0,介錯,冒险,トライネットエンタテインメント、ピクチャーマジック,宮﨑なぎさ
